ID,field_id_anon,year,crop,yield_bu_ac,area_acres,rm_number,total_bu,farm_year_avg_yield,yield_index,prev_crop,yield_source,field_split,field_unit_id
81,F022,2021,Canola,15,25,466,375,15,1,,estimated,,F022-2021-CAN
82,F007,2022,Wheat,53,147,466,7791,53,1,Canola,estimated,,F007-2022-WHE
83,F025,2022,Wheat,53,30,466,1590,53,1,Barley,estimated,A,F025-2022-WHE-A
84,F038,2022,Wheat,53,75,466,3975,53,1,,estimated,,F038-2022-WHE
85,F026,2022,Wheat,53,110,466,5830,53,1,Barley,estimated,,F026-2022-WHE
86,F039,2022,Wheat,53,20,466,1060,53,1,Barley,estimated,A,F039-2022-WHE-A
87,F017,2022,Wheat,53,144,466,7632,53,1,,estimated,,F017-2022-WHE
88,F033,2022,Wheat,53,150,466,7950,53,1,Canola,estimated,,F033-2022-WHE
89,F023,2022,Barley,55,151,466,8305,55,1,Canola,estimated,,F023-2022-BAR
90,F025,2022,Barley,55,74,466,4070,55,1,Barley,estimated,B,F025-2022-BAR-B
91,F013,2022,Barley,55,153,466,8415,55,1,Barley,estimated,,F013-2022-BAR
92,F039,2022,Barley,55,100,466,5500,55,1,Barley,estimated,B,F039-2022-BAR-B
93,F004,2022,Barley,55,155,466,8525,55,1,Canola,estimated,,F004-2022-BAR
94,F034,2022,Barley,55,140,466,7700,55,1,Canola,estimated,,F034-2022-BAR
95,F019,2022,Barley,55,103,466,5665,55,1,,estimated,,F019-2022-BAR
96,F011,2022,Canola,43,150,466,6450,43,1,,estimated,,F011-2022-CAN
97,F024,2022,Canola,43,150,466,6450,43,1,Wheat,estimated,,F024-2022-CAN
98,F005,2022,Canola,43,63,466,2709,43,1,Barley,estimated,,F005-2022-CAN
99,F001,2022,Canola,43,128,466,5504,43,1,Oats,estimated,,F001-2022-CAN
100,F016,2022,Canola,43,139,466,5977,43,1,Oats,estimated,,F016-2022-CAN
101,F010,2022,Canola,43,145,466,6235,43,1,Wheat,estimated,,F010-2022-CAN
102,F018,2022,Canola,43,145,466,6235,43,1,Wheat,estimated,,F018-2022-CAN
103,F014,2022,Oats,50,150,466,7500,50,1,Barley,estimated,,F014-2022-OAT
104,F040,2022,Oats,50,116,466,5800,50,1,Barley,estimated,,F040-2022-OAT
105,F011,2023,Wheat,45,150,466,6750,45,1,Canola,estimated,,F011-2023-WHE
106,F024,2023,Wheat,45,150,466,6750,45,1,Canola,estimated,,F024-2023-WHE
107,F010,2023,Wheat,45,145,466,6525,45,1,Canola,estimated,,F010-2023-WHE
108,F026,2023,Barley,50,110,466,5500,50,1,Wheat,estimated,,F026-2023-BAR
109,F039,2023,Barley,50,70,466,3500,50,1,Wheat,estimated,A,F039-2023-BAR-A
110,F001,2023,Barley,50,148,466,7400,50,1,Canola,estimated,,F001-2023-BAR
111,F016,2023,Barley,50,139,466,6950,50,1,Canola,estimated,,F016-2023-BAR
112,F004,2023,Barley,50,155,466,7750,50,1,Barley,estimated,,F004-2023-BAR
113,F018,2023,Barley,50,145,466,7250,50,1,Canola,estimated,,F018-2023-BAR
114,F034,2023,Barley,50,140,466,7000,50,1,Barley,estimated,,F034-2023-BAR
115,F019,2023,Barley,50,103,466,5150,50,1,Barley,estimated,,F019-2023-BAR
116,F032,2023,Oats,50,83,466,4150,50,1,,estimated,,F032-2023-OAT
117,F014,2023,Oats,50,150,466,7500,50,1,Oats,estimated,,F014-2023-OAT
118,F040,2023,Oats,50,116,466,5800,50,1,Oats,estimated,,F040-2023-OAT
119,F028,2023,Oats,50,145,466,7250,50,1,,estimated,,F028-2023-OAT
120,F005,2023,Canola,40,63,466,2520,40,1,Canola,estimated,,F005-2023-CAN
121,F023,2023,Canola,40,151,466,6040,40,1,Barley,estimated,,F023-2023-CAN
122,F007,2023,Canola,40,147,466,5880,40,1,Wheat,estimated,,F007-2023-CAN
123,F025,2023,Canola,40,104,466,4160,40,1,Wheat,estimated,,F025-2023-CAN
124,F038,2023,Canola,40,75,466,3000,40,1,Wheat,estimated,,F038-2023-CAN
125,F013,2023,Canola,40,153,466,6120,40,1,Barley,estimated,,F013-2023-CAN
126,F039,2023,Canola,40,50,466,2000,40,1,Wheat,estimated,B,F039-2023-CAN-B
127,F017,2023,Canola,40,144,466,5760,40,1,Wheat,estimated,,F017-2023-CAN
128,F033,2023,Canola,40,150,466,6000,40,1,Wheat,estimated,,F033-2023-CAN
129,F007,2024,Wheat,40,147,466,5880,40,1,Canola,estimated,,F007-2024-WHE
130,F025,2024,Wheat,40,104,466,4160,40,1,Canola,estimated,,F025-2024-WHE
131,F038,2024,Wheat,40,75,466,3000,40,1,Canola,estimated,,F038-2024-WHE
132,F013,2024,Wheat,40,153,466,6120,40,1,Canola,estimated,,F013-2024-WHE
133,F039,2024,Wheat,40,153,466,6120,40,1,Barley,estimated,A,F039-2024-WHE-A
134,F026,2024,Barley,50,110,466,5500,50,1,Barley,estimated,,F026-2024-BAR
135,F039,2024,Barley,50,60,466,3000,50,1,Barley,estimated,B,F039-2024-BAR-B
136,F001,2024,Barley,50,148,466,7400,50,1,Barley,estimated,,F001-2024-BAR
137,F016,2024,Barley,50,139,466,6950,50,1,Barley,estimated,,F016-2024-BAR
138,F017,2024,Barley,50,144,466,7200,50,1,Canola,estimated,,F017-2024-BAR
139,F033,2024,Barley,50,150,466,7500,50,1,Canola,estimated,,F033-2024-BAR
140,F014,2024,Oats,50,150,466,7500,50,1,Oats,estimated,,F014-2024-OAT
141,F040,2024,Oats,50,116,466,5800,50,1,Oats,estimated,,F040-2024-OAT
142,F027,2024,Oats,50,40,466,2000,50,1,,estimated,,F027-2024-OAT
143,F015,2024,Oats,50,100,466,5000,50,1,,estimated,,F015-2024-OAT
144,F028,2024,Oats,50,145,466,7250,50,1,Oats,estimated,,F028-2024-OAT
145,F036,2024,Oats,50,145,466,7250,50,1,,estimated,,F036-2024-OAT
146,F020,2024,Oats,50,145,466,7250,50,1,,estimated,,F020-2024-OAT
147,F037,2024,Oats,50,135,466,6750,50,1,,estimated,,F037-2024-OAT
148,F011,2024,Canola,30,150,466,4500,30,1,Wheat,estimated,,F011-2024-CAN
149,F024,2024,Canola,30,150,466,4500,30,1,Wheat,estimated,,F024-2024-CAN
150,F004,2024,Canola,30,155,466,4650,30,1,Barley,estimated,,F004-2024-CAN
151,F010,2024,Canola,30,145,466,4350,30,1,Wheat,estimated,,F010-2024-CAN
152,F018,2024,Canola,30,145,466,4350,30,1,Barley,estimated,,F018-2024-CAN
153,F034,2024,Canola,30,140,466,4200,30,1,Barley,estimated,,F034-2024-CAN
154,F019,2024,Canola,30,103,466,3090,30,1,Barley,estimated,,F019-2024-CAN
